Published Year,Total Publications,Total Publications with Abstract,Total Publications with Full-text
1950,1,1,0
1955,1,1,0
1960,1,1,0
1968,1,1,0
1969,2,2,0
1970,2,2,0
1971,1,1,0
1973,1,1,0
1974,1,1,0
1975,1,1,0
1976,1,1,0
1979,1,1,0
1980,2,2,0
1983,2,2,0
1984,2,2,0
1988,1,1,0
1989,2,2,0
1990,1,1,1
1991,2,2,0
1992,3,3,0
1993,3,3,1
1994,4,4,0
1995,5,5,0
1996,6,6,0
1997,4,4,1
1998,16,16,3
1999,16,15,4
2000,13,13,2
2001,23,23,2
2002,38,38,8
2003,50,50,8
2004,107,106,19
2005,177,176,27
2006,255,251,40
2007,282,278,51
2008,321,321,50
2009,400,399,64
2010,457,455,72
2011,593,588,103
2012,687,681,133
2013,815,813,152
2014,1013,1008,196
2015,1087,1085,224
2016,1187,1183,268
2017,1070,1062,294
2018,799,795,226
2019,853,852,274
2020,769,769,247
2021,838,835,198
2022,527,527,134
2023,187,187,27
2024,2,2,0
