,item.type,item.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value
0,uri,http://www.wikidata.org/entity/Q111136385,en,literal,Antarctic climate-diversity-invasion hypothesis
1,uri,http://www.wikidata.org/entity/Q124641624,en,literal,Anthropogenically induced adaptation to invade hypothesis
2,uri,http://www.wikidata.org/entity/Q108374968,en,literal,biotic resistance hypothesis
3,uri,http://www.wikidata.org/entity/Q116193385,en,literal,Darwin's naturalization hypothesis
4,uri,http://www.wikidata.org/entity/Q115794757,en,literal,disturbance hypothesis
5,uri,http://www.wikidata.org/entity/Q85759287,en,literal,enemy release hypothesis
6,uri,http://www.wikidata.org/entity/Q114241720,en,literal,Enhanced Mutualism Hypothesis
7,uri,http://www.wikidata.org/entity/Q110808826,en,literal,habitat amount hypothesis
8,uri,http://www.wikidata.org/entity/Q9003976,en,literal,Intermediate Disturbance Hypothesis
9,uri,http://www.wikidata.org/entity/Q115322315,en,literal,invasional meltdown hypothesis
10,uri,http://www.wikidata.org/entity/Q115322263,en,literal,island susceptibility hypothesis
11,uri,http://www.wikidata.org/entity/Q111725287,en,literal,limiting similarity hypothesis
12,uri,http://www.wikidata.org/entity/Q109996900,en,literal,novel weapons hypothesis
13,uri,http://www.wikidata.org/entity/Q116193364,en,literal,phenotypic plasticity hypothesis
14,uri,http://www.wikidata.org/entity/Q110620464,en,literal,propagule pressure hypothesis
15,uri,http://www.wikidata.org/entity/Q116193431,en,literal,tens rule
